name,group,'m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'fx', 'fy', 'fz', 'tx', 'alpha'
index,group,0.20021850762417823,0.06520057492060345,0.39024330959579107,0.328528216512891,0.47809606255258325,0.5805309591885337,0.8815134526536764,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.1583300263404274,0.04464428633826812,0.28319841185303574,0.2593117259685054,0.12851920076863627,0.6991504760755619,0.8126331328451029,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.21511101394198434,0.06499301577211801,0.4999795306204817,0.405284306073368,0.5,0.5,1,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.1992269148868006,0.0571920152672304,0.4829605496249049,0.39427392364874336,0.285344824171215,0.45363354802437117,0.9948783211467502,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.07643226443987286,1.3122060656899082E-4,0.39902576710424725,0.2842705588657848,0.7804976236589437,0.20595162357890873,0.4295228739966702,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.15229262141255573,0.035801235813174306,0.4198332323843205,0.32514092979526626,0.8753383555630999,0.5165169098429288,0.6794850111701056,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.20901802542851317,0.06206830599247437,0.48700573105940387,0.3957665802982165,0.4871258324421687,0.5131759577240245,0.9807810989186281,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.21381711955399912,0.06429415369761547,0.46315028421659593,0.38271731168253986,0.5543064240291841,0.6269967260809934,0.9806570186573255,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.08580848444962716,0.003789837433666024,0.2476362267691281,0.20330003550199155,0.7660065803523937,0.7693783774535112,0.4609860721190685,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.1691270301706575,0.04293401818988346,0.43226567539310556,0.35260405584442567,0.31307900164155233,0.48437247569215924,0.878080360768636,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
index,group,0.16227677126108334,0.04003178439506734,0.43463538032720206,0.34619373430050054,0.5175320614669773,0.46886000307342757,0.8035104915057794,3.5824826829518637,3.5824826829518637,3.5824826829518637,0,0.5
